,Product_name,Brand,Discounted_Price,Discount,Original_Price,Ratings,Total_Ratings,Product_URL
37,Happilo 100% Natural California Almonds,Happilo,Rs.248,9%,Rs.275,4.4,"32,993",https://www.flipkart.com/happilo-100-natural-california-almonds/p/itmf4n9ptgqvkmfa?pid=NDFF4N9PUD7PYPZ7&lid=LSTNDFF4N9PUD7PYPZ79PPDKX&marketplace=FLIPKART&srno=b_1_37&otracker=browse&fm=organic&iid=590fd094-00ac-490c-a766-97e3e91a5ae5.NDFF4N9PUD7PYPZ7.SEARCH&ssid=qyd2kliceo0000001591294950608
38,Lion Arabian Dates,Lion Arabian,Rs.202,9%,Rs.224,3.9,"1,110",https://www.flipkart.com/lion-arabian-dates/p/itmewgmchyhehbxw?pid=NDFEUD37FF8HWXHG&lid=LSTNDFEUD37FF8HWXHGUWI2SW&marketplace=FLIPKART&srno=b_1_38&otracker=browse&fm=organic&iid=590fd094-00ac-490c-a766-97e3e91a5ae5.NDFEUD37FF8HWXHG.SEARCH&ssid=qyd2kliceo0000001591294950608
39,Cadbury Bournvita Inner Strength Nutrition Drink,Cadbury,Rs.640,9%,Rs.710,4.5,"8,939",https://www.flipkart.com/cadbury-bournvita-inner-strength-nutrition-drink/p/itmfgnmmbuc7kgyg?pid=ESRFD4GZAFCP9YMK&lid=LSTESRFD4GZAFCP9YMKHNECUK&marketplace=FLIPKART&srno=b_1_39&otracker=browse&fm=organic&iid=590fd094-00ac-490c-a766-97e3e91a5ae5.ESRFD4GZAFCP9YMK.SEARCH&ssid=qyd2kliceo0000001591294950608
40,Saffola Fittify Gourmet Slim Meal Shake Whey Protein,Saffola,"Rs.1,038",12%,"Rs.1,190",4.4,124,https://www.flipkart.com/saffola-fittify-gourmet-slim-meal-shake-whey-protein/p/itm1a5916d69dd00?pid=PSLFNF3ZRAFMYGRZ&lid=LSTPSLFNF3ZRAFMYGRZHLDOAZ&marketplace=FLIPKART&srno=b_1_40&otracker=browse&fm=organic&iid=en_dXCr865M0fflGTyXk%2Bd%2BcEm6veCUIC0QLb7lyZDsM5O1pebqOBafgDwDod9z9wctjQbGBcZcbPQ0ADRFjXr8zQ%3D%3D&ssid=qyd2kliceo0000001591294950608
41,Kellogg's Corn Flakes Original,Kellogg's,Rs.175,2%,Rs.180,4.5,"5,174",https://www.flipkart.com/kellogg-s-corn-flakes-original/p/itmf7e2z7wun7zxe?pid=CAFETEGHHY35F8YU&lid=LSTCAFETEGHHY35F8YUCIM32D&marketplace=FLIPKART&srno=b_2_41&otracker=browse&fm=organic&iid=faf6c814-cf13-4734-ae31-75f68bd7a838.CAFETEGHHY35F8YU.SEARCH&ssid=ses2m80o1c0000001591294963353
42,Apis Royal Zahidi Premium Dates,Apis,Rs.158,9%,Rs.175,4,"1,018",https://www.flipkart.com/apis-royal-zahidi-premium-dates/p/itmf4n9pt4ypgzhx?pid=NDFF4N9PFGGN3EEY&lid=LSTNDFF4N9PFGGN3EEYYKWGMM&marketplace=FLIPKART&srno=b_2_42&otracker=browse&fm=organic&iid=faf6c814-cf13-4734-ae31-75f68bd7a838.NDFF4N9PFGGN3EEY.SEARCH&ssid=ses2m80o1c0000001591294963353
43,Glucon-D Instant Energy Drink,Glucon-D,Rs.144,10%,Rs.160,4.5,"6,089",https://www.flipkart.com/glucon-d-instant-energy-drink/p/itmf4e2mfzazjegj?pid=ESREUC2GTSDA3E7K&lid=LSTESREUC2GTSDA3E7KJUERNQ&marketplace=FLIPKART&srno=b_2_43&otracker=browse&fm=organic&iid=faf6c814-cf13-4734-ae31-75f68bd7a838.ESREUC2GTSDA3E7K.SEARCH&ssid=ses2m80o1c0000001591294963353
44,Cadbury Bournvita Inner Strength Nutrition Drink,Cadbury,Rs.640,9%,Rs.710,4.5,"8,939",https://www.flipkart.com/cadbury-bournvita-inner-strength-nutrition-drink/p/itmfgnmmbuc7kgyg?pid=ESRFD4GZAFCP9YMK&lid=LSTESRFD4GZAFCP9YMKHNECUK&marketplace=FLIPKART&srno=b_2_44&otracker=browse&fm=organic&iid=en_6pIN8NhzrviCKA%2Bw2dBk%2B3YW7o7v8roLnqMNRTdmZdftHDmjXzacTepK4H7Pgw%2B4zf1jmtr%2BEZ%2Bate%2BxMQ6ZKg%3D%3D&ssid=ses2m80o1c0000001591294963353
45,Ensure Diabetes Care Vanilla Delight Nutrition Drink,Ensure,Rs.634,8%,Rs.690,4.5,"4,969",https://www.flipkart.com/ensure-diabetes-care-vanilla-delight-nutrition-drink/p/itmf3mcdaxm3hdnv?pid=ESRF3DZ2KEF5HHRR&lid=LSTESRF3DZ2KEF5HHRRKKCNHP&marketplace=FLIPKART&srno=b_2_45&otracker=browse&fm=organic&iid=faf6c814-cf13-4734-ae31-75f68bd7a838.ESRF3DZ2KEF5HHRR.SEARCH&ssid=ses2m80o1c0000001591294963353
46,Vijay Thick Poha,Vijay Thick,Rs.55,3%,Rs.57,4.1,840,https://www.flipkart.com/vijay-thick-poha/p/itmf64fe7xq59zxy?pid=RICF64FEHFHG7HFG&lid=LSTRICF64FEHFHG7HFGMJN6L2&marketplace=FLIPKART&srno=b_2_46&otracker=browse&fm=organic&iid=faf6c814-cf13-4734-ae31-75f68bd7a838.RICF64FEHFHG7HFG.SEARCH&ssid=ses2m80o1c0000001591294963353
