,Product_name,Brand,Discounted_Price,Discount,Original_Price,Ratings,Total_Ratings,Product_URL
770,Cadbury Bournvita Health Drink Nutrition Drink,Cadbury,Rs.286,1%,Rs.290,4.5,"11,923",https://www.flipkart.com/cadbury-bournvita-health-drink-nutrition/p/itmfhf8pfdw8gxb5?pid=ESRFCZVQZRUREGEX&lid=LSTESRFCZVQZRUREGEXSBX0LQ&marketplace=FLIPKART&srno=b_20_770&otracker=browse&fm=organic&iid=en_UK6oF8AFTVyifYHvLT%2FemYcQ%2B8%2BD%2Bn8wPaqYSrufoOsZ7eKILOEH0TEujelVkQ008TCj29BtLUyQ%2BVBw19HcDw%3D%3D&ssid=l2gl54s8ps0000001591295250342
771,Eighty7 California Almonds Almonds,Eighty7,Rs.999,22%,"Rs.1,287",4.3,"3,817",https://www.flipkart.com/eighty7-california-almonds/p/itmez2bnjmvgfwm7?pid=NDFEZFAF6DUZKRZH&lid=LSTNDFEZFAF6DUZKRZHIPBPMW&marketplace=FLIPKART&srno=b_20_771&otracker=browse&fm=organic&iid=59c80431-1d4a-4f34-b6b5-ed1b6e3aa847.NDFEZFAF6DUZKRZH.SEARCH&ssid=l2gl54s8ps0000001591295250342
772,Herbsjoy Mother Vinegar Vinegar,Herbsjoy,Rs.314,68%,Rs.998,3.7,22,https://www.flipkart.com/herbsjoy-mother-vinegar/p/itm4bd7f042cd16a?pid=ESREY634B6AUXEVQ&lid=LSTESREY634B6AUXEVQBWCMMD&marketplace=FLIPKART&srno=b_20_772&otracker=browse&fm=organic&iid=59c80431-1d4a-4f34-b6b5-ed1b6e3aa847.ESREY634B6AUXEVQ.SEARCH&ssid=l2gl54s8ps0000001591295250342
773,Soft Art 100% Natural Premium Nuts and Dry Fruit Roaste...,Soft,"Rs.1,097",52%,"Rs.2,318",NA,NA,https://www.flipkart.com/soft-art-100-natural-premium-nuts-dry-fruit-roasted-salted-almonds-badaam-1-kg/p/itmfd2tc3g7szw7h?pid=NDFFDF5TBGQA4HQF&lid=LSTNDFFDF5TBGQA4HQF8TTAT2&marketplace=FLIPKART&srno=b_20_773&otracker=browse&fm=organic&iid=59c80431-1d4a-4f34-b6b5-ed1b6e3aa847.NDFFDF5TBGQA4HQF.SEARCH&ssid=l2gl54s8ps0000001591295250342
774,Betty Crocker Triple Choco Brownie Mix 425 g,Betty,Rs.322,2%,Rs.330,4.4,294,https://www.flipkart.com/betty-crocker-triple-choco-brownie-mix-425-g/p/itmet9fwknytydxj?pid=RYMET9FWZSB3AZZH&lid=LSTRYMET9FWZSB3AZZHIERCDH&marketplace=FLIPKART&srno=b_20_774&otracker=browse&fm=organic&iid=en_UK6oF8AFTVyifYHvLT%2FemYcQ%2B8%2BD%2Bn8wPaqYSrufoOtQh1BHguT6cqQRCUuAsurFQXeK%2FOWxigzT1ZW%2B1fZmPg%3D%3D&ssid=l2gl54s8ps0000001591295250342
775,Teamonk Global Joriki Nilgiris Green Tea Box,Teamonk,Rs.146,35%,Rs.225,4.2,679,https://www.flipkart.com/teamonk-global-joriki-nilgiris-green-tea-box/p/itmf86bhhtuyhdma?pid=TEAF85TESTG9HRGF&lid=LSTTEAF85TESTG9HRGFQWDAQZ&marketplace=FLIPKART&srno=b_20_775&otracker=browse&fm=organic&iid=59c80431-1d4a-4f34-b6b5-ed1b6e3aa847.TEAF85TESTG9HRGF.SEARCH&ssid=l2gl54s8ps0000001591295250342
776,MuscleBlaze Super Gainer XXL (French Vanilla) Weight Ga...,MuscleBlaze,"Rs.1,899",35%,"Rs.2,949",4,"67,578",https://www.flipkart.com/muscleblaze-super-gainer-xxl-french-vanilla-weight-gainers-mass-gainers/p/itmfdtyhu5khuzaa?pid=PSLFDRYHHBY7EFMH&lid=LSTPSLFDRYHHBY7EFMH1UQLAO&marketplace=FLIPKART&srno=b_20_776&otracker=browse&fm=organic&iid=59c80431-1d4a-4f34-b6b5-ed1b6e3aa847.PSLFDRYHHBY7EFMH.SEARCH&ssid=l2gl54s8ps0000001591295250342
777,Nutty Gritties Southern Pepper Cashew Nuts,Nutty,Rs.389,10%,Rs.435,4.4,236,https://www.flipkart.com/nutty-gritties-southern-pepper-cashew-nuts/p/itm957401226977f?pid=SNSF6ZJVSGABQKHH&lid=LSTSNSF6ZJVSGABQKHH0C8A3N&marketplace=FLIPKART&srno=b_20_777&otracker=browse&fm=organic&iid=59c80431-1d4a-4f34-b6b5-ed1b6e3aa847.SNSF6ZJVSGABQKHH.SEARCH&ssid=l2gl54s8ps0000001591295250342
778,MuscleBlaze Whey Energy with DigeZyme Whey Protein,MuscleBlaze,"Rs.2,362",36%,"Rs.3,749",4.2,"8,812",https://www.flipkart.com/muscleblaze-whey-energy-digezyme-protein/p/itmerguy8h9dbusv?pid=PSLERGUYC4UNKHKG&lid=LSTPSLERGUYC4UNKHKGKCBPOX&marketplace=FLIPKART&srno=b_20_778&otracker=browse&fm=organic&iid=59c80431-1d4a-4f34-b6b5-ed1b6e3aa847.PSLERGUYC4UNKHKG.SEARCH&ssid=l2gl54s8ps0000001591295250342
779,Healthkart Apple Cider -Unflavored & Filtered Vinegar,Healthkart,Rs.259,38%,Rs.420,4.1,354,https://www.flipkart.com/healthkart-apple-cider-unflavored-filtered-vinegar/p/itmevqhgeuy9brbp?pid=VNGEVQHGXWRH2AYF&lid=LSTVNGEVQHGXWRH2AYFECSXVR&marketplace=FLIPKART&srno=b_20_779&otracker=browse&fm=organic&iid=59c80431-1d4a-4f34-b6b5-ed1b6e3aa847.VNGEVQHGXWRH2AYF.SEARCH&ssid=l2gl54s8ps0000001591295250342
780,Tang Orange Instant Drink Mix,Tang,Rs.182,13%,Rs.210,4.4,"8,852",https://www.flipkart.com/tang-orange-instant-drink-mix/p/itmexzyeypfrjuef?pid=CNCETZN8AU9HMQEX&lid=LSTCNCETZN8AU9HMQEXYAWV8K&marketplace=FLIPKART&srno=b_20_780&otracker=browse&fm=organic&iid=en_UK6oF8AFTVyifYHvLT%2FemYcQ%2B8%2BD%2Bn8wPaqYSrufoOuDc%2FHNlKYnJVpD%2Fe1VxLZ7KnwnDUEkRm0WBI33Uy%2B2Aw%3D%3D&ssid=l2gl54s8ps0000001591295250342
781,TGL Co. Morning Motivation Instant Coffee Powder Freeze...,TGL,Rs.485,10%,Rs.539,4.3,73,https://www.flipkart.com/tgl-co-morning-motivation-instant-coffee-powder-freeze-dried-100-arabica-beans/p/itm146fc96105f45?pid=CFEFKMGS7NY46UHE&lid=LSTCFEFKMGS7NY46UHEMEML1B&marketplace=FLIPKART&srno=b_20_781&otracker=browse&fm=organic&iid=59c80431-1d4a-4f34-b6b5-ed1b6e3aa847.CFEFKMGS7NY46UHE.SEARCH&ssid=l2gl54s8ps0000001591295250342
782,Nutty Gritties Southern Pepper Cashews,Nutty,Rs.389,10%,Rs.435,4.4,49,https://www.flipkart.com/nutty-gritties-southern-pepper-cashews/p/itm4bd5084d2cea9?pid=NDFFZED6S5FSRK6D&lid=LSTNDFFZED6S5FSRK6D422HJE&marketplace=FLIPKART&srno=b_20_782&otracker=browse&fm=organic&iid=59c80431-1d4a-4f34-b6b5-ed1b6e3aa847.NDFFZED6S5FSRK6D.SEARCH&ssid=l2gl54s8ps0000001591295250342
783,Udyan Tea Moroccan Mint Green Tea Vacuum Pack,Udyan,Rs.449,0%,Rs.449,4.7,15,https://www.flipkart.com/udyan-tea-moroccan-mint-green-vacuum-pack/p/itmb1e1e3cfc99e1?pid=TEAFMGHH3BKZTMHC&lid=LSTTEAFMGHH3BKZTMHCEIPE7N&marketplace=FLIPKART&srno=b_20_783&otracker=browse&fm=organic&iid=59c80431-1d4a-4f34-b6b5-ed1b6e3aa847.TEAFMGHH3BKZTMHC.SEARCH&ssid=l2gl54s8ps0000001591295250342
784,Tang Mango Instant Drink Mix,Tang,Rs.200,4%,Rs.210,4.4,"5,480",https://www.flipkart.com/tang-mango-instant-drink-mix/p/itm643242cabb2be?pid=CNCFFY9UDZUWZ5SX&lid=LSTCNCFFY9UDZUWZ5SXOCFLLE&marketplace=FLIPKART&srno=b_20_784&otracker=browse&fm=organic&iid=en_UK6oF8AFTVyifYHvLT%2FemYcQ%2B8%2BD%2Bn8wPaqYSrufoOss0LXsCPv8JyqR4kiRO752jJsFuyODN8nc0WhALdsByQ%3D%3D&ssid=l2gl54s8ps0000001591295250342
785,MuscleBlaze CreaPRO Creatine with Creapure Creatine (25...,MuscleBlaze,Rs.559,30%,Rs.799,4.8,11,https://www.flipkart.com/muscleblaze-creapro-creatine-creapure-250-g-fruit-punch/p/itm6252fcb7fd676?pid=PSLFPDZGEENYZ6SV&lid=LSTPSLFPDZGEENYZ6SVUS65YS&marketplace=FLIPKART&srno=b_20_785&otracker=browse&fm=organic&iid=59c80431-1d4a-4f34-b6b5-ed1b6e3aa847.PSLFPDZGEENYZ6SV.SEARCH&ssid=l2gl54s8ps0000001591295250342
786,Eighty7 Cashews(200g) and Raisins(200g),Eighty7,Rs.382,24%,Rs.504,4.2,65,https://www.flipkart.com/eighty7-cashews-200g-raisins-200g/p/itmfcd7cttfhvvhj?pid=NDFFC8FFHN63SQJ3&lid=LSTNDFFC8FFHN63SQJ3YJQGN5&marketplace=FLIPKART&srno=b_20_786&otracker=browse&fm=organic&iid=59c80431-1d4a-4f34-b6b5-ed1b6e3aa847.NDFFC8FFHN63SQJ3.SEARCH&ssid=l2gl54s8ps0000001591295250342
787,Soft Art Healthy Cranberries Exotic Cranberries,Soft,Rs.517,48%,Rs.999,NA,NA,https://www.flipkart.com/soft-art-healthy-cranberries-exotic/p/itmb72fcd16b4f27?pid=NDFFMKQQZB7KZ352&lid=LSTNDFFMKQQZB7KZ3520DYOHC&marketplace=FLIPKART&srno=b_20_787&otracker=browse&fm=organic&iid=59c80431-1d4a-4f34-b6b5-ed1b6e3aa847.NDFFMKQQZB7KZ352.SEARCH&ssid=l2gl54s8ps0000001591295250342
788,D NATURE FRESH Heart Friendly Almonds,D,Rs.280,25%,Rs.375,3.9,17,https://www.flipkart.com/d-nature-fresh-heart-friendly-almonds/p/itmfhqf6wtr6sscr?pid=NDFEAFRYAFYFZVCD&lid=LSTNDFEAFRYAFYFZVCD7SDX8V&marketplace=FLIPKART&srno=b_20_788&otracker=browse&fm=organic&iid=59c80431-1d4a-4f34-b6b5-ed1b6e3aa847.NDFEAFRYAFYFZVCD.SEARCH&ssid=l2gl54s8ps0000001591295250342
789,Veg E Wagon Yellow Kishmish (Raisins) Regular 500 gm Ra...,Veg,Rs.358,20%,Rs.450,4.4,95,https://www.flipkart.com/veg-e-wagon-yellow-kishmish-raisins-regular-500-gm-raisins/p/itmf9pjbkrbyy8ne?pid=NDFF9PBT8HZTRPJ5&lid=LSTNDFF9PBT8HZTRPJ5KUH7IB&marketplace=FLIPKART&srno=b_20_789&otracker=browse&fm=organic&iid=59c80431-1d4a-4f34-b6b5-ed1b6e3aa847.NDFF9PBT8HZTRPJ5.SEARCH&ssid=l2gl54s8ps0000001591295250342
790,Saffola Aura Extra Virgin Olive and Flaxseed EV Blended...,Saffola,Rs.250,58%,Rs.600,4.4,35,https://www.flipkart.com/saffola-aura-extra-virgin-olive-flaxseed-ev-blended-oil-plastic-bottle/p/itmfbtxjb2xvfgph?pid=EDOF7TMYJNAZGMJZ&lid=LSTEDOF7TMYJNAZGMJZVW0WSP&marketplace=FLIPKART&srno=b_20_790&otracker=browse&fm=organic&iid=en_UK6oF8AFTVyifYHvLT%2FemYcQ%2B8%2BD%2Bn8wPaqYSrufoOu2ajOtld3rD7QRJlLrNNrtnAxwA8DrSPvhRt%2BDJhFA6Q%3D%3D&ssid=l2gl54s8ps0000001591295250342
791,Soft Art 100% Natural Premium Extra Large Whithout Shel...,Soft,Rs.477,52%,Rs.998,NA,NA,https://www.flipkart.com/soft-art-100-natural-premium-extra-large-whithout-shell-pista-pistachios/p/itmfcyf7qhdqk4uy?pid=NDFFCUVKFRJ6NKDA&lid=LSTNDFFCUVKFRJ6NKDAIAIWQI&marketplace=FLIPKART&srno=b_20_791&otracker=browse&fm=organic&iid=59c80431-1d4a-4f34-b6b5-ed1b6e3aa847.NDFFCUVKFRJ6NKDA.SEARCH&ssid=l2gl54s8ps0000001591295250342
792,MuscleBlaze Mass Gainer XXL Weight Gainers/Mass Gainers,MuscleBlaze,Rs.874,30%,"Rs.1,249",3.9,"23,429",https://www.flipkart.com/muscleblaze-mass-gainer-xxl-weight-gainers-mass-gainers/p/itmegzcgrcwwghfu?pid=PSLEGZCGGHHQJ4VX&lid=LSTPSLEGZCGGHHQJ4VXTOJQJE&marketplace=FLIPKART&srno=b_20_792&otracker=browse&fm=organic&iid=59c80431-1d4a-4f34-b6b5-ed1b6e3aa847.PSLEGZCGGHHQJ4VX.SEARCH&ssid=l2gl54s8ps0000001591295250342
793,Veg E Wagon Green Kishmish (Raisins) Regular 500 gm Rai...,Veg,Rs.368,18%,Rs.450,4,15,https://www.flipkart.com/veg-e-wagon-green-kishmish-raisins-regular-500-gm-raisins/p/itmf9pgvgvyhwvyb?pid=NDFF9PDAHBNFHDGQ&lid=LSTNDFF9PDAHBNFHDGQQRR4AA&marketplace=FLIPKART&srno=b_20_793&otracker=browse&fm=organic&iid=59c80431-1d4a-4f34-b6b5-ed1b6e3aa847.NDFF9PDAHBNFHDGQ.SEARCH&ssid=l2gl54s8ps0000001591295250342
794,Saffola Aura Extra Virgin Olive and Flaxseed Blended Oi...,Saffola,Rs.150,54%,Rs.330,4.3,40,https://www.flipkart.com/saffola-aura-extra-virgin-olive-flaxseed-blended-oil-plastic-bottle/p/itmezwfwdharczxx?pid=EDOEZWFWDTPEBFG2&lid=LSTEDOEZWFWDTPEBFG2UTHNWQ&marketplace=FLIPKART&srno=b_20_794&otracker=browse&fm=organic&iid=en_UK6oF8AFTVyifYHvLT%2FemYcQ%2B8%2BD%2Bn8wPaqYSrufoOupJriX0RgAUV9CCHKasp6Klh3w9zHin4j9x57h5D2NgA%3D%3D&ssid=l2gl54s8ps0000001591295250342
795,Optimum Nutrition Amino Energy BCAA,Optimum,"Rs.1,822",24%,"Rs.2,429",4.3,"3,044",https://www.flipkart.com/optimum-nutrition-amino-energy-bcaa/p/itmf97jevgkdhejf?pid=PSLEAVTNRFPGAF5Z&lid=LSTPSLEAVTNRFPGAF5ZVHZBBL&marketplace=FLIPKART&srno=b_20_795&otracker=browse&fm=organic&iid=59c80431-1d4a-4f34-b6b5-ed1b6e3aa847.PSLEAVTNRFPGAF5Z.SEARCH&ssid=l2gl54s8ps0000001591295250342
796,AMBROSIA PREMIUM CALIFORNIA ALMONDS 1 Kg Almonds,AMBROSIA,Rs.979,24%,"Rs.1,300",4.3,60,https://www.flipkart.com/ambrosia-premium-california-almonds-1-kg/p/itmfc75mzzyncgbw?pid=NDFFC6JXRHTCSQFJ&lid=LSTNDFFC6JXRHTCSQFJWBAX0L&marketplace=FLIPKART&srno=b_20_796&otracker=browse&fm=organic&iid=59c80431-1d4a-4f34-b6b5-ed1b6e3aa847.NDFFC6JXRHTCSQFJ.SEARCH&ssid=l2gl54s8ps0000001591295250342
797,Yuvika Indrayan Phal Powder | Tumma Powder - Citrullus ...,Yuvika,Rs.149,50%,Rs.299,5,4,https://www.flipkart.com/yuvika-indrayan-phal-powder-tumma-citrullus-colocythis/p/itm723e892507f98?pid=SCMFJK6CQJ6WXGHM&lid=LSTSCMFJK6CQJ6WXGHMLVNHZ3&marketplace=FLIPKART&srno=b_20_797&otracker=browse&fm=organic&iid=59c80431-1d4a-4f34-b6b5-ed1b6e3aa847.SCMFJK6CQJ6WXGHM.SEARCH&ssid=l2gl54s8ps0000001591295250342
798,"AS-IT-IS Nutrition L-Glutamine 500mg, 60 Capsules| Musc...",AS-IT-IS,Rs.398,21%,Rs.510,4.5,55,https://www.flipkart.com/as-it-is-nutrition-l-glutamine-500mg-60-capsules-muscle-recovery-zero-fillers-lab-tested-glutamine/p/itmb5de755b2ece1?pid=PSLFMUZFHFYHXDYN&lid=LSTPSLFMUZFHFYHXDYNHDEIBX&marketplace=FLIPKART&srno=b_20_798&otracker=browse&fm=organic&iid=59c80431-1d4a-4f34-b6b5-ed1b6e3aa847.PSLFMUZFHFYHXDYN.SEARCH&ssid=l2gl54s8ps0000001591295250342
799,D NATURE FRESH Raw Cashews 250g (Box) Cashews,D,Rs.345,23%,Rs.450,4.9,8,https://www.flipkart.com/d-nature-fresh-raw-cashews-250g-box/p/itm0498286facccc?pid=NDFFKQA7QCZMF59B&lid=LSTNDFFKQA7QCZMF59BHLGYY6&marketplace=FLIPKART&srno=b_20_799&otracker=browse&fm=organic&iid=59c80431-1d4a-4f34-b6b5-ed1b6e3aa847.NDFFKQA7QCZMF59B.SEARCH&ssid=l2gl54s8ps0000001591295250342
800,Saffola Fittify Gourmet Slim Meal Shake Whey Protein,Saffola,"Rs.1,038",12%,"Rs.1,190",4.3,86,https://www.flipkart.com/saffola-fittify-gourmet-slim-meal-shake-whey-protein/p/itm6575bd00426f8?pid=PSLFNF3ZF2KHSHG8&lid=LSTPSLFNF3ZF2KHSHG8A38DKM&marketplace=FLIPKART&srno=b_20_800&otracker=browse&fm=organic&iid=en_UK6oF8AFTVyifYHvLT%2FemYcQ%2B8%2BD%2Bn8wPaqYSrufoOvfsX%2FitoAgU5ZlkFfvP%2FlGfeuylkGxcrobYuO%2FWvA8KQ%3D%3D&ssid=l2gl54s8ps0000001591295250342
801,Nutty Desires Cashews 250 g (Premium whole Kaju) Cashew...,Nutty,Rs.499,28%,Rs.700,NA,NA,https://www.flipkart.com/nutty-desires-cashews-250-g-premium-whole-kaju/p/itm6b5f402a0ae7b?pid=NDFFGMXUYZRGEQB4&lid=LSTNDFFGMXUYZRGEQB48CGOFE&marketplace=FLIPKART&srno=b_21_801&otracker=browse&fm=organic&iid=354395de-5cce-46a9-9d48-6e4cedcd1e85.NDFFGMXUYZRGEQB4.SEARCH&ssid=bm45gnb7f40000001591295285269
802,Pureway Organic Turmeric Powder,Pureway,Rs.249,37%,Rs.399,4.3,55,https://www.flipkart.com/pureway-organic-turmeric-powder/p/itmf6u3cg6nzvzvc?pid=SCMF6TX67DNAVKTZ&lid=LSTSCMF6TX67DNAVKTZ9OSKJR&marketplace=FLIPKART&srno=b_21_802&otracker=browse&fm=organic&iid=354395de-5cce-46a9-9d48-6e4cedcd1e85.SCMF6TX67DNAVKTZ.SEARCH&ssid=bm45gnb7f40000001591295285269
803,Labrada Whey Protein,Labrada Whey,"Rs.1,890",36%,"Rs.2,999",4.1,728,https://www.flipkart.com/labrada-whey-protein/p/itmfavmfwqpty5u8?pid=PSLFAVMEJ7JZN6NK&lid=LSTPSLFAVMEJ7JZN6NKM7BZAN&marketplace=FLIPKART&srno=b_21_803&otracker=browse&fm=organic&iid=354395de-5cce-46a9-9d48-6e4cedcd1e85.PSLFAVMEJ7JZN6NK.SEARCH&ssid=bm45gnb7f40000001591295285269
804,Cadbury Bournvita Inner Strength Nutrition Drink,Cadbury,Rs.640,9%,Rs.710,4.5,"8,939",https://www.flipkart.com/cadbury-bournvita-inner-strength-nutrition-drink/p/itmfgnmmbuc7kgyg?pid=ESRFD4GZAFCP9YMK&lid=LSTESRFD4GZAFCP9YMKHNECUK&marketplace=FLIPKART&srno=b_21_804&otracker=browse&fm=organic&iid=en_pKX0Om6z%2FvCGLjv0QNZOJn9MDht%2FSaoDnFxvTYN51kDLaxjILts3UYu12MZIbpf0zf1jmtr%2BEZ%2Bate%2BxMQ6ZKg%3D%3D&ssid=bm45gnb7f40000001591295285269
805,Nescafe GOLD Blend Crafted With Arabica Ground 10 time ...,Nescafe,Rs.945,27%,"Rs.1,299",NA,NA,https://www.flipkart.com/nescafe-gold-blend-crafted-arabica-ground-10-time-finer-strength-instant-coffee/p/itmba01facda3f4a?pid=CFEFPS43HDWAPUPX&lid=LSTCFEFPS43HDWAPUPXN0VC1X&marketplace=FLIPKART&srno=b_21_805&otracker=browse&fm=organic&iid=354395de-5cce-46a9-9d48-6e4cedcd1e85.CFEFPS43HDWAPUPX.SEARCH&ssid=bm45gnb7f40000001591295285269
806,Midiron Himalayan Black Salt Powder (Kala Namak ) Black...,Midiron,Rs.149,25%,Rs.199,NA,NA,https://www.flipkart.com/midiron-himalayan-black-salt-powder-kala-namak/p/itmb100b378dc078?pid=SATFSACRGZ99ZZZG&lid=LSTSATFSACRGZ99ZZZGSTLZKH&marketplace=FLIPKART&srno=b_21_806&otracker=browse&fm=organic&iid=354395de-5cce-46a9-9d48-6e4cedcd1e85.SATFSACRGZ99ZZZG.SEARCH&ssid=bm45gnb7f40000001591295285269
807,Soft Art Celebrations Kajoor Exotic Vaccum Pack Dates,Soft,Rs.437,52%,Rs.913,NA,NA,https://www.flipkart.com/soft-art-celebrations-kajoor-exotic-vaccum-pack-dates/p/itmaaa140329001c?pid=NDFFZ8TPAYBHHUGF&lid=LSTNDFFZ8TPAYBHHUGFHQOLYE&marketplace=FLIPKART&srno=b_21_807&otracker=browse&fm=organic&iid=354395de-5cce-46a9-9d48-6e4cedcd1e85.NDFFZ8TPAYBHHUGF.SEARCH&ssid=bm45gnb7f40000001591295285269
808,Isopure Low Carb Whey Protein,Isopure,"Rs.10,919",19%,"Rs.13,549",4.2,758,https://www.flipkart.com/isopure-low-carb-whey-protein/p/itmef7nfkmzwxrxm?pid=PSLEF7NF6AHHXHF2&lid=LSTPSLEF7NF6AHHXHF2IOIOLK&marketplace=FLIPKART&srno=b_21_808&otracker=browse&fm=organic&iid=354395de-5cce-46a9-9d48-6e4cedcd1e85.PSLEF7NF6AHHXHF2.SEARCH&ssid=bm45gnb7f40000001591295285269
809,GNC Pro Performance Weight Gainer Weight Gainers/Mass G...,GNC,"Rs.1,919",36%,"Rs.2,999",4,"1,225",https://www.flipkart.com/gnc-pro-performance-weight-gainer-gainers-mass-gainers/p/itmb09eb8fb6b432?pid=PSLFDPZRCHGDWNEG&lid=LSTPSLFDPZRCHGDWNEGP8Z6E2&marketplace=FLIPKART&srno=b_21_809&otracker=browse&fm=organic&iid=354395de-5cce-46a9-9d48-6e4cedcd1e85.PSLFDPZRCHGDWNEG.SEARCH&ssid=bm45gnb7f40000001591295285269
810,Cadbury Bournvita Health Drink Nutrition Drink,Cadbury,Rs.286,1%,Rs.290,4.5,"11,923",https://www.flipkart.com/cadbury-bournvita-health-drink-nutrition/p/itmfhf8pfdw8gxb5?pid=ESRFCZVQZRUREGEX&lid=LSTESRFCZVQZRUREGEXSBX0LQ&marketplace=FLIPKART&srno=b_21_810&otracker=browse&fm=organic&iid=en_pKX0Om6z%2FvCGLjv0QNZOJn9MDht%2FSaoDnFxvTYN51kA0xFJeseFumcm8IYUiMpRB8TCj29BtLUyQ%2BVBw19HcDw%3D%3D&ssid=bm45gnb7f40000001591295285269
811,Heilen Biopharm Premium Peruvian Organic Black Maca Roo...,Heilen,"Rs.1,824",20%,"Rs.2,299",4.1,12,https://www.flipkart.com/heilen-biopharm-premium-peruvian-organic-black-maca-root-powder/p/itmfdmbyhajdc24c?pid=VSLFD3QG7GDFUBGV&lid=LSTVSLFD3QG7GDFUBGVO8AAYY&marketplace=FLIPKART&srno=b_21_811&otracker=browse&fm=organic&iid=354395de-5cce-46a9-9d48-6e4cedcd1e85.VSLFD3QG7GDFUBGV.SEARCH&ssid=bm45gnb7f40000001591295285269
812,kaykon Kashmiri Kishmish Pure Green Raisin - 2 KG Raisi...,kaykon,"Rs.1,599",19%,"Rs.1,998",NA,NA,https://www.flipkart.com/kaykon-kashmiri-kishmish-pure-green-raisin-2-kg-raisins/p/itmfctyrcqrmvcy5?pid=NDFFCQ9RYERKUFER&lid=LSTNDFFCQ9RYERKUFERZSID1B&marketplace=FLIPKART&srno=b_21_812&otracker=browse&fm=organic&iid=354395de-5cce-46a9-9d48-6e4cedcd1e85.NDFFCQ9RYERKUFER.SEARCH&ssid=bm45gnb7f40000001591295285269
813,Zenith Nutrition Zinc Gluconate 30mg – 120 Nos,Zenith,Rs.593,21%,Rs.760,4.1,82,https://www.flipkart.com/zenith-nutrition-zinc-gluconate-30mg-120-nos/p/itmf3mcdzxeesw3f?pid=VSLEW7V9SFHYS4TK&lid=LSTVSLEW7V9SFHYS4TKJKALKR&marketplace=FLIPKART&srno=b_21_813&otracker=browse&fm=organic&iid=354395de-5cce-46a9-9d48-6e4cedcd1e85.VSLEW7V9SFHYS4TK.SEARCH&ssid=bm45gnb7f40000001591295285269
814,Betty Crocker Triple Choco Brownie Mix 425 g,Betty,Rs.322,2%,Rs.330,4.4,294,https://www.flipkart.com/betty-crocker-triple-choco-brownie-mix-425-g/p/itmet9fwknytydxj?pid=RYMET9FWZSB3AZZH&lid=LSTRYMET9FWZSB3AZZHIERCDH&marketplace=FLIPKART&srno=b_21_814&otracker=browse&fm=organic&iid=en_pKX0Om6z%2FvCGLjv0QNZOJn9MDht%2FSaoDnFxvTYN51kAP1XADizYSYXCZ2lWEVmldQXeK%2FOWxigzT1ZW%2B1fZmPg%3D%3D&ssid=bm45gnb7f40000001591295285269
815,Vitro Certified Organic Jamun Juice,Vitro,Rs.273,0%,Rs.275,4.3,92,https://www.flipkart.com/vitro-certified-organic-jamun-juice/p/itm3f9f6deb2e6e1?pid=DAJFMSBVKRMFHFFB&lid=LSTDAJFMSBVKRMFHFFB8LKCYO&marketplace=FLIPKART&srno=b_21_815&otracker=browse&fm=organic&iid=354395de-5cce-46a9-9d48-6e4cedcd1e85.DAJFMSBVKRMFHFFB.SEARCH&ssid=bm45gnb7f40000001591295285269
816,Soft Art 100% Natural Premium Nuts and Mixed Dry Fruit ...,Soft,Rs.787,48%,"Rs.1,526",NA,NA,https://www.flipkart.com/soft-art-100-natural-premium-nuts-mixed-dry-fruit-250-grams-cashew-kaju-125-almonds-badaam-gram/p/itmfehtjy5knazaz?pid=NDFFEFG5YGRQ4JGD&lid=LSTNDFFEFG5YGRQ4JGDJRKIK6&marketplace=FLIPKART&srno=b_21_816&otracker=browse&fm=organic&iid=354395de-5cce-46a9-9d48-6e4cedcd1e85.NDFFEFG5YGRQ4JGD.SEARCH&ssid=bm45gnb7f40000001591295285269
817,Naturewell Combo Pack of Chia Seed and Basil Seed (Raw ...,Naturewell,Rs.249,50%,Rs.498,4.5,23,https://www.flipkart.com/naturewell-combo-pack-chia-seed-basil-raw-seeds-100-gram-each/p/itmee7ffdd6827da?pid=EDSFPYHNR7HPG6C7&lid=LSTEDSFPYHNR7HPG6C7YOHRTB&marketplace=FLIPKART&srno=b_21_817&otracker=browse&fm=organic&iid=354395de-5cce-46a9-9d48-6e4cedcd1e85.EDSFPYHNR7HPG6C7.SEARCH&ssid=bm45gnb7f40000001591295285269
818,Bliss of Earth 600GM Certified Organic Flax Seeds Raw S...,Bliss,Rs.225,15%,Rs.265,4.8,5,https://www.flipkart.com/bliss-earth-600gm-certified-organic-flax-seeds-raw-superfood-weight-loss/p/itmcdfba3409ff44?pid=EDSFR9HTFPRP45JM&lid=LSTEDSFR9HTFPRP45JM75BB6C&marketplace=FLIPKART&srno=b_21_818&otracker=browse&fm=organic&iid=354395de-5cce-46a9-9d48-6e4cedcd1e85.EDSFR9HTFPRP45JM.SEARCH&ssid=bm45gnb7f40000001591295285269
819,TGL Co. Luxury Coffee Morning Motivation Instant Coffee...,TGL,Rs.485,10%,Rs.539,4.5,21,https://www.flipkart.com/tgl-co-luxury-coffee-morning-motivation-instant-100-gm-makes-great-iced/p/itmfay666ekzbfdj?pid=CFEF9ZHGHFAEGE8Z&lid=LSTCFEF9ZHGHFAEGE8ZKF9F6K&marketplace=FLIPKART&srno=b_21_819&otracker=browse&fm=organic&iid=354395de-5cce-46a9-9d48-6e4cedcd1e85.CFEF9ZHGHFAEGE8Z.SEARCH&ssid=bm45gnb7f40000001591295285269
