Product_Name,Discounted_Price,Discount,Original_Price,Rating,No_of_ratings,itemURL,Platform
"Amazon Brand - Vedaka Premium Chana Dal, 500g",46.0,34.0,70.0,4.3,908,https://www.amazon.in/Amazon-Brand-Vedaka-Premium-Chana/dp/B079NNMJN4/ref=sr_1_77?dchild=1&qid=1591099869&s=pantry&sr=1-77,Amazon
"Daawat Brown Basmati Rice, 5kg",634.0,9.0,700.0,4.2,816,https://www.amazon.in/Daawat-Brown-Basmati-Rice-5kg/dp/B01H5MC7X8/ref=sr_1_78?dchild=1&qid=1591099869&s=pantry&sr=1-78,Amazon
"Kohinoor Super Silver Aged Basmati Rice, 5 Kg",599.0,40.0,999.0,4.1,533,https://www.amazon.in/Kohinoor-Super-Silver-Aged-Basmati/dp/B01COSFW9Y/ref=sr_1_76?dchild=1&qid=1591099869&s=grocery&sr=1-76,Amazon
Swastik Pure & Tasty Refined Fibrous Sattu 1.5 kg (Pack of 3pc 500g),370.0,24.0,490.0,4.3,48,https://www.amazon.in/Swastik-Tasty-Refined-Fibrous-Sattu/dp/B081RC61YN/ref=sr_1_77?dchild=1&qid=1591099869&s=grocery&sr=1-77,Amazon
"24 Mantra Organic Besan, 500g",72.0,15.0,85.0,4.4,287,https://www.amazon.in/24-Mantra-Organic-Besan-Flour/dp/B01CHV07UC/ref=sr_1_78?dchild=1&qid=1591099869&s=pantry&sr=1-78,Amazon
"Aashirvaad Select Superior Sharbati Atta, 5kg",274.0,6.0,290.0,4.4,414,https://www.amazon.in/Aashirvaad-Select-Superior-Sharbati-Atta/dp/B0744PC11K/ref=sr_1_79?dchild=1&qid=1591099869&s=pantry&sr=1-79,Amazon
"Daawat Rozana Mini Mogra Rice, 10kg",495.0,6.0,525.0,3.1,313,https://www.amazon.in/Daawat-Rozana-Mini-Mogra-Rice/dp/B01NA7U1CT/ref=sr_1_80?dchild=1&qid=1591099869&s=pantry&sr=1-80,Amazon
"Daawat Biryani Basmati Rice, 1kg",189.0,14.0,220.0,4.3,181,https://www.amazon.in/Daawat-Biryani-Basmati-Rice-1kg/dp/B01CHUQJ8W/ref=sr_1_81?dchild=1&qid=1591099869&s=pantry&sr=1-81,Amazon
"Amazon Brand - Vedaka Premium Chana Dal, 1 kg",92.0,34.0,140.0,4.3,908,https://www.amazon.in/Amazon-Brand-Vedaka-Premium-Chana/dp/B079NQH74R/ref=sr_1_82?dchild=1&qid=1591099869&s=pantry&sr=1-82,Amazon
"Amazon Brand - Vedaka Premium Red Rajma, 1kg",134.0,16.0,160.0,4.1,718,https://www.amazon.in/Amazon-Brand-Vedaka-Premium-Rajma/dp/B079N8SHFF/ref=sr_1_83?dchild=1&qid=1591099869&s=pantry&sr=1-83,Amazon
"Aashirvaad Superior MP Atta Bag, 10kg",459.0,6.0,490.0,3.9,316,https://www.amazon.in/Aashirvaad-Superior-Atta-Bag-10kg/dp/B071YF58K5/ref=sr_1_84?dchild=1&qid=1591099869&s=pantry&sr=1-84,Amazon
"Fitness Mantra White Quinoa Seeds Pouch, 1 kg",299.0,15.0,350.0,4.1,1395,https://www.amazon.in/Fitness-Mantra-White-Quinoa-Seeds/dp/B07H1C3H9S/ref=sr_1_86?dchild=1&qid=1591099869&s=grocery&sr=1-86,Amazon
"Fortune Sona Masoori Rice, 5kg",313.0,22.0,399.0,3.6,412,https://www.amazon.in/Fortune-Sona-Masoori-Regular-5kg/dp/B07GY2BN7L/ref=sr_1_87?dchild=1&qid=1591099869&s=pantry&sr=1-87,Amazon
"Fortune Everyday Basmati Rice, 5kg",381.0,49.0,740.0,4.0,113,https://www.amazon.in/Fortune-Everyday-Basmati-Rice-5kg/dp/B01H5L5UF6/ref=sr_1_91?dchild=1&qid=1591099869&s=pantry&sr=1-91,Amazon
"India Gate Basmati Rice Super, 1kg (with Free 500g)",183.0,4.0,190.0,4.2,626,https://www.amazon.in/India-Gate-Basmati-Rice-Super/dp/B06XSW7FV5/ref=sr_1_93?dchild=1&qid=1591099869&s=pantry&sr=1-93,Amazon
Tur Dal Loose 1 Kg,179.0,5.0,189.0,4.3,142,https://www.amazon.in/More-Tur-Dal-Loose-500gm/dp/B07M5T6R3S/ref=sr_1_96?dchild=1&qid=1591099869&s=grocery&sr=1-96,Amazon
"Aashirvaad Superior Mp Atta, 1kg",52.0,9.0,57.0,4.2,221,https://www.amazon.in/Aashirvaad-Superior-Mp-Atta-1kg/dp/B077SXQZ79/ref=sr_1_98?dchild=1&qid=1591099869&s=pantry&sr=1-98,Amazon
"Pillsbury Multi Grain Atta, 5kg",285.0,8.0,310.0,4.1,428,https://www.amazon.in/Pillsbury-Multi-Grain-Atta-5kg/dp/B01CHUZNH0/ref=sr_1_99?dchild=1&qid=1591099869&s=pantry&sr=1-99,Amazon
