Product_Name,Brand,Discounted_Price,Discount,Original_Price,Product_Rating,No_of_ratings,Product_URL,Platform
Apis Royal Zahidi Premium Dates,Apis,158.0,9.0,175.0,4.0,1018,https://www.flipkart.com/apis-royal-zahidi-premium-dates/p/itmf4n9pt4ypgzhx?pid=NDFF4N9PFGGN3EEY&lid=LSTNDFF4N9PFGGN3EEYYKWGMM&marketplace=FLIPKART&srno=b_2_42&otracker=browse&fm=organic&iid=faf6c814-cf13-4734-ae31-75f68bd7a838.NDFF4N9PFGGN3EEY.SEARCH&ssid=ses2m80o1c0000001591294963353,Flipkart
Glucon-D Instant Energy Drink,Glucon-D,144.0,10.0,160.0,4.5,6089,https://www.flipkart.com/glucon-d-instant-energy-drink/p/itmf4e2mfzazjegj?pid=ESREUC2GTSDA3E7K&lid=LSTESREUC2GTSDA3E7KJUERNQ&marketplace=FLIPKART&srno=b_2_43&otracker=browse&fm=organic&iid=faf6c814-cf13-4734-ae31-75f68bd7a838.ESREUC2GTSDA3E7K.SEARCH&ssid=ses2m80o1c0000001591294963353,Flipkart
Ensure Diabetes Care Vanilla Delight Nutrition Drink,Ensure,634.0,8.0,690.0,4.5,4969,https://www.flipkart.com/ensure-diabetes-care-vanilla-delight-nutrition-drink/p/itmf3mcdaxm3hdnv?pid=ESRF3DZ2KEF5HHRR&lid=LSTESRF3DZ2KEF5HHRRKKCNHP&marketplace=FLIPKART&srno=b_2_45&otracker=browse&fm=organic&iid=faf6c814-cf13-4734-ae31-75f68bd7a838.ESRF3DZ2KEF5HHRR.SEARCH&ssid=ses2m80o1c0000001591294963353,Flipkart
Vijay Thick Poha,Vijay Thick,55.0,3.0,57.0,4.1,840,https://www.flipkart.com/vijay-thick-poha/p/itmf64fe7xq59zxy?pid=RICF64FEHFHG7HFG&lid=LSTRICF64FEHFHG7HFGMJN6L2&marketplace=FLIPKART&srno=b_2_46&otracker=browse&fm=organic&iid=faf6c814-cf13-4734-ae31-75f68bd7a838.RICF64FEHFHG7HFG.SEARCH&ssid=ses2m80o1c0000001591294963353,Flipkart
Rajdhani White Lobia (Whole),Rajdhani,70.0,1.0,71.0,4.5,155,https://www.flipkart.com/rajdhani-white-lobia-whole/p/itmf8wh6cj9agvne?pid=PLSF6Y2DFFSFNR72&lid=LSTPLSF6Y2DFFSFNR72K5YPWY&marketplace=FLIPKART&srno=b_2_47&otracker=browse&fm=organic&iid=faf6c814-cf13-4734-ae31-75f68bd7a838.PLSF6Y2DFFSFNR72.SEARCH&ssid=ses2m80o1c0000001591294963353,Flipkart
Chana Dal,Chana Dal,105.0,19.0,130.0,4.4,1513,https://www.flipkart.com/chana-dal/p/itmeymkrdcbbzngh?pid=PLSEWWBTEZUQT7GP&lid=LSTPLSEWWBTEZUQT7GPEBJTYM&marketplace=FLIPKART&srno=b_2_48&otracker=browse&fm=organic&iid=faf6c814-cf13-4734-ae31-75f68bd7a838.PLSEWWBTEZUQT7GP.SEARCH&ssid=ses2m80o1c0000001591294963353,Flipkart
Kellogg's Original Corn Flakes,Kellogg's,403.0,5.0,425.0,4.6,832,https://www.flipkart.com/kellogg-s-original-corn-flakes/p/itmfb876fb9b26a9?pid=CAFFJBYYPMYWTJHA&lid=LSTCAFFJBYYPMYWTJHAVGUBN4&marketplace=FLIPKART&srno=b_2_49&otracker=browse&fm=organic&iid=faf6c814-cf13-4734-ae31-75f68bd7a838.CAFFJBYYPMYWTJHA.SEARCH&ssid=ses2m80o1c0000001591294963353,Flipkart
Kellogg's Muesli Nuts Delight,Kellogg's,375.0,9.0,415.0,4.5,3588,https://www.flipkart.com/kellogg-s-muesli-nuts-delight/p/itmf3qzzsesg2qms?pid=CAFETEJYGEQG7CKW&lid=LSTCAFETEJYGEQG7CKW4HJWGY&marketplace=FLIPKART&srno=b_2_52&otracker=browse&fm=organic&iid=faf6c814-cf13-4734-ae31-75f68bd7a838.CAFETEJYGEQG7CKW.SEARCH&ssid=ses2m80o1c0000001591294963353,Flipkart
Saffola Active Pro Weight Watchers Blended Oil Can,Saffola,646.0,5.0,680.0,4.6,804,https://www.flipkart.com/saffola-active-pro-weight-watchers-blended-oil-can/p/itmf3200a6f97d5f?pid=EDOET83G3QFMGRCH&lid=LSTEDOET83G3QFMGRCH8JHDMH&marketplace=FLIPKART&srno=b_2_56&otracker=browse&fm=organic&iid=faf6c814-cf13-4734-ae31-75f68bd7a838.EDOET83G3QFMGRCH.SEARCH&ssid=ses2m80o1c0000001591294963353,Flipkart
PediaSure Premium Chocolate Nutrition Drink,PediaSure,1080.0,8.0,1180.0,4.5,8716,https://www.flipkart.com/pediasure-premium-chocolate-nutrition-drink/p/itmeaf3bc8bb1745?pid=ESRF3DZ2HRZZDNGP&lid=LSTESRF3DZ2HRZZDNGP2ZJBHD&marketplace=FLIPKART&srno=b_2_57&otracker=browse&fm=organic&iid=faf6c814-cf13-4734-ae31-75f68bd7a838.ESRF3DZ2HRZZDNGP.SEARCH&ssid=ses2m80o1c0000001591294963353,Flipkart
