,Product_name,Discount,Discounted_Price,Original_Price,Product_Url,Product_Rating,No_of_ratings,Platform
43,Daawat Rozana Gold Basmati Rice 5 kg, 23%  , 379.00, 495.00,https://www.jiomart.com/daawat-rozana-gold-basmati-rice-5-kg-490005638,0, 0,Jiomart
44,Good Life Jeera 500 g, 30%  , 119.00, 169.00,https://www.jiomart.com/good-life-jeera-500-g-491185140,0, 0,Jiomart
45,Daawat Devayya Basmati Rice 1 Kg, 23%  , 85.00, 110.00,https://www.jiomart.com/daawat-devayya-basmati-rice-1-kg-490005639,0, 0,Jiomart
46,Good Life Big Mustard 100 g, 50%  , 13.00, 26.00,https://www.jiomart.com/good-life-big-mustard-100-g-491185141,0, 0,Jiomart
47,Saffola Active RiceBran Based Blended Oil 1 L (Pouch), 12%  , 119.00, 135.00,https://www.jiomart.com/saffola-active-ricebran-based-blended-oil-1-l-pouch-490437774,0, 0,Jiomart
48,Good Life Jeera 200 g, 50%  , 54.50, 109.00,https://www.jiomart.com/good-life-jeera-200-g-491185139,0, 0,Jiomart
49,Daawat Super Basmati Rice 1 Kg, 33%  , 111.00, 165.00,https://www.jiomart.com/daawat-super-basmati-rice-1-kg-490000003,0, 0,Jiomart
50,Super Sarvottam Rice Bran Oil 1 ltr, 37%  , 94.00, 149.00,https://www.jiomart.com/super-sarvottam-rice-bran-oil-1-ltr-491504124,0, 0,Jiomart
51,Loose Lokwan Grade 1 1 Kg, 14%  , 28.00, 32.50,https://www.jiomart.com/loose-lokwan-grade-1-1-kg-490174095,0, 0,Jiomart
52,Tez Kachi Ghani Mustard Oil 1 L (Pouch), 8%  , 135.00, 146.00,https://www.jiomart.com/tez-kachi-ghani-mustard-oil-1-l-pouch-490064782,0, 0,Jiomart
53,Daawat Devayya Basmati Rice 5 Kg, 27%  , 399.00, 545.00,https://www.jiomart.com/daawat-devayya-basmati-rice-5-kg-490005640,0, 0,Jiomart
54,Aashirvaad Select Sharbati Atta 5Kg, 10%  , 265.00, 295.00,https://www.jiomart.com/aashirvaad-select-sharbati-atta-5kg-490005641,0, 0,Jiomart
55,Everest Turmeric Powder 100 g, 12%  , 24.64, 28.00,https://www.jiomart.com/everest-turmeric-powder-100-g-490000522,0, 0,Jiomart
56,Good Life Fine Mustard 100 g, 50%  , 13.00, 26.00,https://www.jiomart.com/good-life-fine-mustard-100-g-491185145,0, 0,Jiomart
57,Guinea Filtered Pure Groundnut Oil 1 L, 10%  , 220.00, 245.00,https://www.jiomart.com/guinea-filtered-pure-groundnut-oil-1-l-490010609,0, 0,Jiomart
58,Wada Kolam Rice 10 kg Bag, 31%  , 549.00, 800.00,https://www.jiomart.com/wada-kolam-rice-10-kg-bag-491439756,0, 0,Jiomart
59,Loose Toor Dal Value 1 kg, 6%  , 95.00, 101.00,https://www.jiomart.com/loose-toor-dal-value-1-kg-490155005,0, 0,Jiomart
60,Good Life Chilli Powder 100 g, 50%  , 31.00, 62.00,https://www.jiomart.com/good-life-chilli-powder-100-g-491185046,0, 0,Jiomart
61,Good Life Coriander Powder 100 g, 50%  , 23.00, 46.00,https://www.jiomart.com/good-life-coriander-powder-100-g-491185047,0, 0,Jiomart
62,Chakki Atta 5 Kg Bag, 36%  , 159.00, 250.00,https://www.jiomart.com/chakki-atta-5-kg-bag-491349659,0, 0,Jiomart
63,Maida 500 g, 50%  , 21.50, 43.00,https://www.jiomart.com/maida-500-g-491349661,0, 0,Jiomart
64,Dukes Masala Nibbles 150 g, 30%  , 35.00, 50.00,https://www.jiomart.com/dukes-masala-nibbles-150-g-491335112,0, 0,Jiomart
65,Garden Mumbai Special Lemon Bhel 150 g, 10%  , 43.20, 48.00,https://www.jiomart.com/garden-mumbai-special-lemon-bhel-150-g-490011574,0, 0,Jiomart
66,Dukes Waffy Strawberry Flavoured Wafers 75 g, 50%  , 22.50, 45.00,https://www.jiomart.com/dukes-waffy-strawberry-flavoured-wafers-75-g-490006834,0, 0,Jiomart
67,Sunfeast Dark Fantasy Choco Fills Cookies 75 g, 17%  , 25.00, 30.00,https://www.jiomart.com/sunfeast-dark-fantasy-choco-fills-cookies-75-g-490762566,0, 0,Jiomart
68,Cadbury Dairy Milk Silk Bubbly Chocolate Bar 50 g, 7%  , 74.40, 80.00,https://www.jiomart.com/cadbury-dairy-milk-silk-bubbly-chocolate-bar-50-g-491213888,0, 0,Jiomart
69,Quaker Oats 1.5 kg, 12%  , 230.00, 260.00,https://www.jiomart.com/quaker-oats-1-5-kg-490850761,0, 0,Jiomart
70,Britannia Good Day Cashew Cookies 200 g, 20%  , 28.00, 35.00,https://www.jiomart.com/britannia-good-day-cashew-cookies-200-g-490176188,0, 0,Jiomart
71,MTR 3 Minute Breakfast Instant Khatta Meetha Poha Mix 60 g, 50%  , 10.00, 20.00,https://www.jiomart.com/mtr-3-minute-breakfast-instant-khatta-meetha-poha-mix-60-g-491179469,0, 0,Jiomart
72,Kissan Fresh Tomato Ketchup 950 g, 12%  , 110.00, 125.00,https://www.jiomart.com/kissan-fresh-tomato-ketchup-950-g-490503479,0, 0,Jiomart
73,MTR 3 Minute Breakfast Instant Poha Mix 60 g, 50%  , 10.00, 20.00,https://www.jiomart.com/mtr-3-minute-breakfast-instant-poha-mix-60-g-491179467,0, 0,Jiomart
74,Healthy Life Crunchy Cornflakes 875 g, 50%  , 145.00, 290.00,https://www.jiomart.com/healthy-life-crunchy-cornflakes-875-g-491238103,0, 0,Jiomart
75,Cadbury Dairy Milk Chocolate Bar 52 g (Value Pack), 7%  , 37.20, 40.00,https://www.jiomart.com/cadbury-dairy-milk-chocolate-bar-52-g-value-pack-491279068,0, 0,Jiomart
76,Sundrop Crunchy Peanut Butter 462 g (+46 g), 9%  , 195.00, 215.00,https://www.jiomart.com/sundrop-crunchy-peanut-butter-462-g-46-g-490547881,0, 0,Jiomart
77,Parle's Tangy Tomato Wafers 80 g, 7%  , 27.90, 30.00,https://www.jiomart.com/parle-s-tangy-tomato-wafers-80-g-491231698,0, 0,Jiomart
78,Parle-G Original Glucose Biscuits 800 g, 9%  , 64.00, 70.00,https://www.jiomart.com/parle-g-original-glucose-biscuits-800-g-490008739,0, 0,Jiomart
79,Parle-G Gold Biscuits 1 kg, 13%  , 100.00, 115.00,https://www.jiomart.com/parle-g-gold-biscuits-1-kg-491335633,0, 0,Jiomart
80,Bingo Yumitos Chilli Sprinkled Potato Chips 130 g, 50%  , 25.00, 50.00,https://www.jiomart.com/bingo-yumitos-chilli-sprinkled-potato-chips-130-g-491551827,0, 0,Jiomart
81,Britannia NutriChoice Hi-Fibre Digestive Biscuits 100 g, 20%  , 16.00, 20.00,https://www.jiomart.com/britannia-nutrichoice-hi-fibre-digestive-biscuits-100-g-490007701,0, 0,Jiomart
82,Haldiram's Nagpur Khatta Meetha 150 g, 7%  , 27.90, 30.00,https://www.jiomart.com/haldiram-s-nagpur-khatta-meetha-150-g-490000278,0, 0,Jiomart
