Product_Name,Discounted_Price,Discount,Original_Price,Rating,No_of_ratings,itemURL
"NutroActive BrownXatta, HIGH Protein & Low Carb Keto Friendly Flour 850 gm",312,4%,₹324,3.8,Sponsored,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_browse_grocery_sr_pg3_2?ie=UTF8&adId=A01572809A9YCMV2SC8Z&url=%2FNutroActive-BrownXatta-Protein-Friendly-Flour%2Fdp%2FB06XQMG23M%2Fref%3Dsr_1_65_sspa%3Fdchild%3D1%26qid%3D1591099869%26s%3Dgrocery%26sr%3D1-65-spons%26psc%3D1&qualifier=1591153670&id=156860292891304&widgetName=sp_mtf_browse
NutroActive BrownXatta High Protein & Low Carb Keto Friendly Flour - 9 Kg (Family Pack),2098,17%,"₹2,520",3.7,Sponsored,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_browse_grocery_sr_pg3_3?ie=UTF8&adId=A06901593JG6DRJFNJL2V&url=%2FNutroActive-BrownXatta-Protein-Friendly-Flour%2Fdp%2FB07FYNC42F%2Fref%3Dsr_1_66_sspa%3Fdchild%3D1%26qid%3D1591099869%26s%3Dgrocery%26sr%3D1-66-spons%26psc%3D1&qualifier=1591153670&id=156860292891304&widgetName=sp_mtf_browse
"Fortune Special Biryani Basmati Rice, 1kg",111,37%,₹175,4.2,364,https://www.amazon.in/Fortune-Special-Biryani-Basmati-Rice/dp/B01CHUQLTE/ref=sr_1_67?dchild=1&qid=1591099869&s=pantry&sr=1-67
"Daawat Rozana Super Basmati Rice, 5kg",,0%,,3.7,319,https://www.amazon.in/Daawat-Rozana-Super-Basmati-Rice/dp/B075754F89/ref=sr_1_68?dchild=1&qid=1591099869&s=grocery&sr=1-68
"Aashirvaad Superior MP Atta, 5kg",,0%,,4.5,482,https://www.amazon.in/Aashirvaad-Superior-MP-Atta-5kg/dp/B00K0LUSSS/ref=sr_1_69?dchild=1&qid=1591099869&s=grocery&sr=1-69
"India Gate Basmati Rice Regular Choice, 5kg",319,28%,₹445,3.7,368,https://www.amazon.in/India-Gate-Basmati-Regular-Choice/dp/B075L4GRGR/ref=sr_1_70?dchild=1&qid=1591099869&s=pantry&sr=1-70
"Aashirvaad Superior MP Atta, 5kg",244,10%,₹270,4.1,389,https://www.amazon.in/Aashirvaad-Superior-MP-Atta-5kg/dp/B06ZZ3BT6W/ref=sr_1_71?dchild=1&qid=1591099869&s=pantry&sr=1-71
"24 Mantra Organic Toor Dal/Tur Dal/Arhar Dal, 1Kg",175,10%,₹195,4.3,359,https://www.amazon.in/24-Mantra-Organic-Toor-Dal/dp/B01CHUY1KU/ref=sr_1_72?dchild=1&qid=1591099869&s=pantry&sr=1-72
"India Gate Basmati Rice Bag, Mogra, 5kg (Broken rice)",299,21%,₹380,3.4,484,https://www.amazon.in/India-Gate-Basmati-Mogra-Broken/dp/B01JYTZ908/ref=sr_1_73?dchild=1&qid=1591099869&s=pantry&sr=1-73
"Amazon Brand - Vedaka Popular Black Urad Split / Chilka, 500g",75,6%,₹80,4.3,632,https://www.amazon.in/Amazon-Brand-Vedaka-Popular-Chilka/dp/B079NSRBR9/ref=sr_1_74?dchild=1&qid=1591099869&s=pantry&sr=1-74
